Date : 2021-07-22 20:47:47
Directory : d:\vue\vueJS_016_字研所\02-装裱大师APP
Total : 295 files,  31866 codes, 5797 comments, 3107 blanks, all 40770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        137 |     22,514 |      4,072 |      1,369 |     27,955 |
| JavaScript |        103 |      6,148 |      1,490 |      1,089 |      8,727 |
| SCSS       |         16 |      1,065 |        199 |        275 |      1,539 |
| JSON       |         17 |        881 |         15 |         29 |        925 |
| CSS        |          4 |        683 |          8 |        223 |        914 |
| Markdown   |          9 |        447 |          7 |        108 |        562 |
| HTML       |          4 |        102 |          6 |         13 |        121 |
| XML        |          5 |         26 |          0 |          1 |         27 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        295 |     31,866 |      5,797 |      3,107 |     40,770 |
| .hbuilderx                                                                                                                        |          1 |         10 |          1 |          1 |         12 |
| common                                                                                                                            |          5 |      1,160 |        177 |        319 |      1,656 |
| components                                                                                                                        |          4 |        257 |         14 |         15 |        286 |
| components\helang-cardSwiper                                                                                                      |          1 |         73 |         12 |          2 |         87 |
| pages                                                                                                                             |         40 |      5,072 |        171 |        346 |      5,589 |
| pages\channel                                                                                                                     |          8 |        697 |         45 |         52 |        794 |
| pages\home                                                                                                                        |          7 |      1,237 |         47 |         68 |      1,352 |
| pages\member                                                                                                                      |         10 |      1,466 |         43 |         84 |      1,593 |
| pages\shop                                                                                                                        |          9 |      1,567 |         36 |        109 |      1,712 |
| pages\webview                                                                                                                     |          6 |        105 |          0 |         33 |        138 |
| static                                                                                                                            |          3 |        260 |         96 |         48 |        404 |
| static\common                                                                                                                     |          1 |        228 |         88 |         47 |        363 |
| static\common\js                                                                                                                  |          1 |        228 |         88 |         47 |        363 |
| store                                                                                                                             |          2 |         73 |         38 |         12 |        123 |
| style                                                                                                                             |          3 |        499 |         90 |        143 |        732 |
| uniCloud-aliyun                                                                                                                   |          1 |         13 |          4 |          1 |         18 |
| uniCloud-aliyun\cloudfunctions                                                                                                    |          1 |         13 |          4 |          1 |         18 |
| uniCloud-aliyun\cloudfunctions\univerify                                                                                          |          1 |         13 |          4 |          1 |         18 |
| uni_modules                                                                                                                       |         17 |        861 |         36 |        106 |      1,003 |
| uni_modules\uni-config-center                                                                                                     |          6 |        221 |          0 |         21 |        242 |
| uni_modules\uni-config-center\uniCloud                                                                                            |          3 |         61 |          0 |          2 |         63 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions                                                                             |          3 |         61 |          0 |          2 |         63 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common                                                                      |          3 |         61 |          0 |          2 |         63 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center                                                    |          3 |         61 |          0 |          2 |         63 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-id                                             |          1 |         51 |          0 |          1 |         52 |
| uni_modules\uni-id                                                                                                                |          7 |        326 |          0 |         48 |        374 |
| uni_modules\uni-id\uniCloud                                                                                                       |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions                                                                                        |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions\common                                                                                 |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id                                                                          |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-swiper-dot                                                                                                        |          4 |        314 |         36 |         37 |        387 |
| uni_modules\uni-swiper-dot\components                                                                                             |          1 |        162 |         36 |         16 |        214 |
| uni_modules\uni-swiper-dot\components\uni-swiper-dot                                                                              |          1 |        162 |         36 |         16 |        214 |
| unpackage                                                                                                                         |         68 |        925 |        336 |        163 |      1,424 |
| unpackage\cache                                                                                                                   |         23 |        309 |        112 |         54 |        475 |
| unpackage\cache\apk                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| unpackage\cache\wgt                                                                                                               |         22 |        308 |        112 |         54 |        474 |
| unpackage\cache\wgt\__UNI__9580DBA                                                                                                |         22 |        308 |        112 |         54 |        474 |
| unpackage\cache\wgt\__UNI__9580DBA\pages                                                                                          |          4 |          4 |          0 |          0 |          4 |
| unpackage\cache\wgt\__UNI__9580DBA\pages\channel                                                                                  |          1 |          1 |          0 |          0 |          1 |
| unpackage\cache\wgt\__UNI__9580DBA\pages\member                                                                                   |          1 |          1 |          0 |          0 |          1 |
| unpackage\cache\wgt\__UNI__9580DBA\pages\shop                                                                                     |          1 |          1 |          0 |          0 |          1 |
| unpackage\cache\wgt\__UNI__9580DBA\pages\webview                                                                                  |          1 |          1 |          0 |          0 |          1 |
| unpackage\cache\wgt\__UNI__9580DBA\static                                                                                         |          3 |        260 |         96 |         48 |        404 |
| unpackage\cache\wgt\__UNI__9580DBA\static\common                                                                                  |          1 |        228 |         88 |         47 |        363 |
| unpackage\cache\wgt\__UNI__9580DBA\static\common\js                                                                               |          1 |        228 |         88 |         47 |        363 |
| unpackage\dist                                                                                                                    |         23 |        308 |        112 |         55 |        475 |
| unpackage\dist\build                                                                                                              |         23 |        308 |        112 |         55 |        475 |
| unpackage\dist\build\.automator                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| unpackage\dist\build\.automator\app-plus                                                                                          |          1 |          0 |          0 |          1 |          1 |
| unpackage\dist\build\app-plus                                                                                                     |         22 |        308 |        112 |         54 |        474 |
| unpackage\dist\build\app-plus\pages                                                                                               |          4 |          4 |          0 |          0 |          4 |
| unpackage\dist\build\app-plus\pages\channel                                                                                       |          1 |          1 |          0 |          0 |          1 |
| unpackage\dist\build\app-plus\pages\member                                                                                        |          1 |          1 |          0 |          0 |          1 |
| unpackage\dist\build\app-plus\pages\shop                                                                                          |          1 |          1 |          0 |          0 |          1 |
| unpackage\dist\build\app-plus\pages\webview                                                                                       |          1 |          1 |          0 |          0 |          1 |
| unpackage\dist\build\app-plus\static                                                                                              |          3 |        260 |         96 |         48 |        404 |
| unpackage\dist\build\app-plus\static\common                                                                                       |          1 |        228 |         88 |         47 |        363 |
| unpackage\dist\build\app-plus\static\common\js                                                                                    |          1 |        228 |         88 |         47 |        363 |
| unpackage\resources                                                                                                               |         22 |        308 |        112 |         54 |        474 |
| unpackage\resources\__UNI__9580DBA                                                                                                |         22 |        308 |        112 |         54 |        474 |
| unpackage\resources\__UNI__9580DBA\www                                                                                            |         22 |        308 |        112 |         54 |        474 |
